,0,1,2,3,4,5,6,7,8,9
ADGRB1→RTN4RL1,9.949076614254635e-08,9.949076614254635e-08,0.0,0.0,0.0,0.0,0.0,9.949076614254635e-08,0.0,0.0
ADGRB1→RTN4RL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ→ADIPOR1,0.0,0.0,1.1684153292214641e-05,1.1684153292214641e-05,1.1684153292214641e-05,0.0,1.1684153292214641e-05,0.0,1.1684153292214641e-05,1.1684153292214641e-05
ADIPOQ→ADIPOR2,0.0,0.0,0.00010771768215725887,0.00010771768215725887,0.00010771768215725887,0.0,0.00010771768215725887,0.0,0.00010771768215725887,0.00010771768215725887
ADIPOQ→ASGR2,6.224865825865033e-07,6.224865825865033e-07,0.0,0.0,0.0,0.0,0.0,6.224865825865033e-07,0.0,0.0
ADIPOQ→CLEC2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ→CNR2,1.1863322131161564e-06,1.1863322131161564e-06,0.0,0.0,0.0,0.0,0.0,1.1863322131161564e-06,0.0,0.0
ADIPOQ→GPR152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ→GPR42,8.371381696185594e-06,8.371381696185594e-06,0.0,0.0,0.0,0.0,0.0,8.371381696185594e-06,0.0,0.0
ADIPOQ→PROKR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM2→ADCYAP1R1,3.59012499203621e-06,3.59012499203621e-06,0.0,0.0,0.0,0.0,0.0,3.59012499203621e-06,0.0,0.0
ADM2→ADRB2,0.0037951790855973696,0.0037951790855973696,0.0,0.0,0.0,0.0,0.0,0.0037951790855973696,0.0,0.0
ADM2→ADRB3,4.767631960537926e-06,4.767631960537926e-06,0.0,0.0,0.0,0.0,0.0,4.767631960537926e-06,0.0,0.0
ADM2→CALCR,4.787818201387613e-07,4.787818201387613e-07,0.0,0.0,0.0,0.0,0.0,4.787818201387613e-07,0.0,0.0
ADM2→CALCRL,1.4533773628005763e-06,1.4533773628005763e-06,0.0,0.0,0.0,0.0,0.0,1.4533773628005763e-06,0.0,0.0
ADM2→DCLK3,1.8962313783069256e-05,1.8962313783069256e-05,0.0006843366053573731,0.0006843366053573731,0.0006843366053573731,0.0,0.0006843366053573731,1.8962313783069256e-05,0.0006843366053573731,0.0006843366053573731
ADM2→GPR20,0.0032194409693280363,0.0032194409693280363,0.0,0.0,0.0,0.0,0.0,0.0032194409693280363,0.0,0.0
ADM2→GPR84,0.00043942723157090155,0.00043942723157090155,0.0,0.0,0.0,0.0002682199565427166,0.0,0.00043942723157090155,0.0,0.0
ADM2→PTH1R,2.338396101676601e-06,2.338396101676601e-06,0.0,0.0,0.0,0.0,0.0,2.338396101676601e-06,0.0,0.0
ADM2→RAMP1,1.6398682649083548e-06,1.6398682649083548e-06,0.0,0.0,0.0,0.0,0.0,1.6398682649083548e-06,0.0,0.0
ADM2→RAMP2,7.51872857512826e-06,7.51872857512826e-06,0.0,0.0,0.0,0.0,0.0,7.51872857512826e-06,0.0,0.0
ADM2→RAMP3,1.1785915933983962e-05,1.1785915933983962e-05,0.0,0.0,0.0,0.0,0.0,1.1785915933983962e-05,0.0,0.0
ADM2→TSHR,0.000545026909698957,0.000545026909698957,0.00022750429865693047,0.00022750429865693047,0.00022750429865693047,0.0,0.00022750429865693047,0.000545026909698957,0.00022750429865693047,0.00022750429865693047
ADM2→VIPR1,9.701398150859272e-07,9.701398150859272e-07,0.0,0.0,0.0,0.0,0.0,9.701398150859272e-07,0.0,0.0
ADM→ACKR3,1.010949375224458e-06,1.010949375224458e-06,2.37838320851117e-05,2.37838320851117e-05,2.37838320851117e-05,0.0,2.37838320851117e-05,1.010949375224458e-06,2.37838320851117e-05,2.37838320851117e-05
ADM→ADCYAP1R1,1.2150013656284429e-05,1.2150013656284429e-05,0.0,0.0,0.0,0.0,0.0,1.2150013656284429e-05,0.0,0.0
